Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1654	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	0
2	Spectrogram 1	1	6.0	9.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.2234	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	6.0
3	Spectrogram 1	1	9.0	12.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8090	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	9.0
4	Spectrogram 1	1	12.0	15.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8782	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
5	Spectrogram 1	1	15.0	18.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8513	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	15.0
6	Spectrogram 1	1	18.0	21.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7619	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	18.0
7	Spectrogram 1	1	21.0	24.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1037	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	21.0
8	Spectrogram 1	1	24.0	27.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9270	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
9	Spectrogram 1	1	27.0	30.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8501	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	27.0
10	Spectrogram 1	1	30.0	33.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8248	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	30.0
11	Spectrogram 1	1	33.0	36.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8537	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	33.0
12	Spectrogram 1	1	36.0	39.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1502	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	36.0
13	Spectrogram 1	1	39.0	42.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.6510	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
14	Spectrogram 1	1	45.0	48.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7341	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	45.0
15	Spectrogram 1	1	54.0	57.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5814	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	54.0
16	Spectrogram 1	1	57.0	60.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.6772	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	57.0
17	Spectrogram 1	1	60.0	63.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1608	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	60.0
18	Spectrogram 1	1	63.0	66.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1060	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	63.0
19	Spectrogram 1	1	66.0	69.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7378	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	66.0
20	Spectrogram 1	1	69.0	72.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7755	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	69.0
21	Spectrogram 1	1	72.0	75.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1492	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	72.0
22	Spectrogram 1	1	75.0	78.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9578	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	75.0
23	Spectrogram 1	1	78.0	81.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7627	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	78.0
24	Spectrogram 1	1	81.0	84.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1747	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	81.0
25	Spectrogram 1	1	84.0	87.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.6378	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	84.0
26	Spectrogram 1	1	87.0	90.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1740	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	87.0
27	Spectrogram 1	1	90.0	93.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5206	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	90.0
28	Spectrogram 1	1	93.0	96.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7499	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	93.0
29	Spectrogram 1	1	99.0	102.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7688	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	99.0
30	Spectrogram 1	1	102.0	105.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1121	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	102.0
31	Spectrogram 1	1	105.0	108.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9651	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	105.0
32	Spectrogram 1	1	108.0	111.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1245	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	108.0
33	Spectrogram 1	1	111.0	114.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.2021	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	111.0
34	Spectrogram 1	1	114.0	117.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7699	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	114.0
35	Spectrogram 1	1	117.0	120.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8160	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	117.0
36	Spectrogram 1	1	120.0	123.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8340	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	120.0
37	Spectrogram 1	1	123.0	126.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8114	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	123.0
38	Spectrogram 1	1	126.0	129.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8197	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	126.0
39	Spectrogram 1	1	132.0	135.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8849	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	132.0
40	Spectrogram 1	1	135.0	138.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8551	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	135.0
41	Spectrogram 1	1	141.0	144.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5935	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	141.0
42	Spectrogram 1	1	147.0	150.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9109	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	147.0
43	Spectrogram 1	1	150.0	153.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7315	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	150.0
44	Spectrogram 1	1	153.0	156.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8415	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	153.0
45	Spectrogram 1	1	156.0	159.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9475	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	156.0
46	Spectrogram 1	1	159.0	162.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9171	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	159.0
47	Spectrogram 1	1	162.0	165.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7563	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	162.0
48	Spectrogram 1	1	165.0	168.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.2143	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	165.0
49	Spectrogram 1	1	168.0	171.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8220	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	168.0
50	Spectrogram 1	1	171.0	174.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5654	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	171.0
51	Spectrogram 1	1	174.0	177.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8330	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	174.0
52	Spectrogram 1	1	177.0	180.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1442	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	177.0
53	Spectrogram 1	1	189.0	192.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8332	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	189.0
54	Spectrogram 1	1	192.0	195.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1304	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	192.0
55	Spectrogram 1	1	198.0	201.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7757	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	198.0
